platform,conference,title,mention_text
FATE,ICLR_2024_FEDERATED_LEARNING 2297,VertiBench: Advancing Feature Distribution Diversity in Vertical Federated Learning Benchmarks,"FedML: Chaoyang He, Songze Li, Jinhyun So, Xiao Zeng, Mi Zhang, Hongyi Wang, Xiaoyang Wang, Praneeth Vepakomma, Abhishek Singh, Hang Qiu, et al. Fedml: A research library and benchmark for federated machine learning. arXiv preprint arXiv:2007.13518, 2020. || FATE: For FATE frame- work, we are using federatedai/standalone_fate Docker image, running with Python 3.8.13 on Docker 23.0.2."
FedML,ICLR_2023_FEDERATED_LEARNING 1585,Bias Propagation in Federated Learning,"We use FedML (He et al., 2020), a PyTorch (Paszke et al., 2019)-based library for FL, to train models in FL. | Chaoyang He, Songze Li, Jinhyun So, Xiao Zeng, Mi Zhang, Hongyi Wang, Xiaoyang Wang, Praneeth Vepakomma, Abhishek Singh, Hang Qiu, et al. Fedml: A research library and benchmark for federated machine learning."
FedML,NEURIPS_2024_FEDERATED_LEARNING 4538,DapperFL: Domain Adaptive Federated Learning with Model Fusion Pruning for Edge Devices,"We implement DapperFL with a real-world FL platform FedML [49] with deep learning tool PyTorch [50]. | We build the FL environment with a client set C containing 10 heterogeneous edge devices and a central server on the FedML platform. | Fedml: A research library and benchmark for federated machine learning. arXiv preprint arXiv:2007.13518, 2020. [50] Adam Paszke, Sam Gross, Francisco Massa, Adam Lerer, James Bradbury, Gregory Chanan, Trevor Killeen, Zeming Lin, Natalia Gimelshein, Luca Antiga, et al. Pytorch: An imperative style, high-performance deep learning library."
FedML,ICLR_2024_FEDERATED_LEARNING 2297,FedImpro: Measuring and Improving Client Update in Federated Learning,"Fedml: A research library and benchmark for federated machine learning. arXiv preprint arXiv:2007.13518, 2020b. | Fedml parrot: A scalable federated learning system via heterogeneity-aware scheduling on sequential and hierarchical training. arXiv preprint arXiv:2303.01778, 2023a. | The experiment framework is built upon a popular FL framework FedML (He et al., 2020b; Tang et al., 2023a). || FedScale: Fedscale: Benchmarking model and system performance of federated learning at scale."
FedML,NEURIPS_2024_FEDERATED_LEARNING 4538,FuseFL: One-Shot Federated Learning through the Lens of Causality with Progressive Model Fusion,"Fedml: A re- search library and benchmark for federated machine learning. arXiv preprint arXiv:2007.13518, 2020. [48] C. | Fedml parrot: A scalable federated learning system via heterogeneity-aware scheduling on sequential and hierarchical training. arXiv preprint arXiv:2303.01778, 2023. [128] Z. | During local updating, the optimizer is SGD with 0.9 momentum following most FL baselines [] D.2 Hardware and software The FedAvg baseline is conducted based on the standard commonly used FL library FedML [47; 127]."
FedML,ICLR_2025_FEDERATED_LEARNING 3827,Hot-pluggable Federated Learning: Bridging General and Personalized FL via Dynamic Selection,"We implement our algorithm and experiments based on the popular FL framework FedML (He et al., 2020b; Tang et al., 2023a). | Fedml: A research library and benchmark for federated machine learning. arXiv preprint arXiv:2007.13518, 2020b. | Fedml parrot: A scalable federated learning system via heterogeneity-aware scheduling on sequential and hierarchical training. arXiv preprint arXiv:2303.01778, 2023a."
FedScale,ICML_2024_FEDERATED_LEARNING 2635,COALA: A Practical and Vision-Centric Federated Learning Platform,"Flower: For example, the FATE (WeBank, 2019), FederatedScope (Xie et al., 2023), FedML (He et al., 2020), OpenFed (Chen et al., 2023b), just name a few, are among the most famous frameworks released by industrial companies, while LEAF (Caldas et al., 2018), Flower (Beutel et al., 2020), FedScale (Lai et al., 2022), EasyFL (Zhuang et al., 2022a), FLUTE (Garcia et al., 2022), FedLab (Zeng et al., 2023) are mainly contributed by academia. | Flower: A friendly federated learning research framework. arXiv preprint arXiv:2007.14390, 2020. || PySyft: Other frequently mentioned plat- forms in the literature include TensorFlow Federated (Ten- sorflow.org, 2019), PaddleFL (PaddlePaddle, 2020), PySyft (Ryffel et al., 2018) and FedVision (Liu et al., 2020). || TensorFlow Federated: Other frequently mentioned plat- forms in the literature include TensorFlow Federated (Ten- sorflow.org, 2019), PaddleFL (PaddlePaddle, 2020), PySyft (Ryffel et al., 2018) and FedVision (Liu et al., 2020). | Tensorflow federated, 2019. || FedML: For example, the FATE (WeBank, 2019), FederatedScope (Xie et al., 2023), FedML (He et al., 2020), OpenFed (Chen et al., 2023b), just name a few, are among the most famous frameworks released by industrial companies, while LEAF (Caldas et al., 2018), Flower (Beutel et al., 2020), FedScale (Lai et al., 2022), EasyFL (Zhuang et al., 2022a), FLUTE (Garcia et al., 2022), FedLab (Zeng et al., 2023) are mainly contributed by academia. | He, C., Li, S., So, J., Zhang, M., Wang, H., Wang, X., Vepakomma, P., Singh, A., Qiu, H., Shen, L., et al. Fedml: A research library and benchmark for federated machine learning. arXiv preprint arXiv:2007.13518, 2020. | The following are the compared prior works: LEAF (Caldas et al., 2018), FedCV (He et al., 2021) based on FedML (He et al., 2020), FedScale (Lai et al., 2022), OARF (Hu et al., 2022b), FedReID (Zhuang et al., 2020), FLamby (du Terrail et al., 2022), (Xie et al., 2023) with pFL-Bench (Chen et al., 2022), Felicitas (Zhang et al., 2022), and FLGO (Wang et al., 2023b) 2. | LEAF ✓ × × × ✓ × FedML (FedCV) ✓ ✓ ✓ × × × FedScale ✓ ✓ × × × × OARF ✓ × × × ✓ × FedReID × × × ✓ × × FLamby ✓ × ✓ × × × FederatedScope ✓ × × × × × Felicitas ✓ × × × × × FLGO ✓ ✓ ✓ × × × COALA (Ours) ✓ ✓ ✓ ✓ ✓ ✓ Table 12. | Benchmarks Supervised FL Semi-supervised FL Unsupervised FL Label Shift Domain Shift Continual Shift, Test-time Shift LEAF ✓ × × ✓ × × FedML (FedCV) ✓ × × ✓ ✓ × FedScale ✓ × × ✓ ✓ × OARF ✓ × × ✓ ✓ × FedReID ✓ × ✓ × ✓ × FLamby ✓ × × ✓ ✓ × FederatedScope ✓ × × ✓ × × Felicitas ✓ ✓ × ✓ × × FLGO ✓ × × ✓ ✓ × COALA (Ours) ✓ ✓ ✓ ✓ ✓ ✓ F. | Benchmarks Single Model Federated Split Learning Personalized Models FedPEFT for FM LEAF ✓ × × × FedML (FedCV) ✓ ✓ ✓ × FedScale ✓ × × × OARF ✓ × ✓ × FedReID ✓ × ✓ × FLamby ✓ × ✓ × FederatedScope ✓ × ✓ × Felicitas ✓ × ✓ × FLGO ✓ × ✓ × COALA (Ours) ✓ ✓ ✓ ✓ on the availability of resources. || FATE: Federated ai technology enabler (fate), 2019. | URL https://github.com/FederatedAI/FATE. || PaddleFL: Other frequently mentioned plat- forms in the literature include TensorFlow Federated (Ten- sorflow.org, 2019), PaddleFL (PaddlePaddle, 2020), PySyft (Ryffel et al., 2018) and FedVision (Liu et al., 2020). | Paddlefl vanilla implementation, 2020. | URL https://github.com/PaddlePaddle/ PaddleFL/tree/master/python/paddle_ fl/paddle_fl/examples/femnist_demo. || FederatedScope: For example, the FATE (WeBank, 2019), FederatedScope (Xie et al., 2023), FedML (He et al., 2020), OpenFed (Chen et al., 2023b), just name a few, are among the most famous frameworks released by industrial companies, while LEAF (Caldas et al., 2018), Flower (Beutel et al., 2020), FedScale (Lai et al., 2022), EasyFL (Zhuang et al., 2022a), FLUTE (Garcia et al., 2022), FedLab (Zeng et al., 2023) are mainly contributed by academia. | Federatedscope: A flexi- ble federated learning platform for heterogeneity. | LEAF ✓ × × × ✓ × FedML (FedCV) ✓ ✓ ✓ × × × FedScale ✓ ✓ × × × × OARF ✓ × × × ✓ × FedReID × × × ✓ × × FLamby ✓ × ✓ × × × FederatedScope ✓ × × × × × Felicitas ✓ × × × × × FLGO ✓ ✓ ✓ × × × COALA (Ours) ✓ ✓ ✓ ✓ ✓ ✓ Table 12. | Benchmarks Supervised FL Semi-supervised FL Unsupervised FL Label Shift Domain Shift Continual Shift, Test-time Shift LEAF ✓ × × ✓ × × FedML (FedCV) ✓ × × ✓ ✓ × FedScale ✓ × × ✓ ✓ × OARF ✓ × × ✓ ✓ × FedReID ✓ × ✓ × ✓ × FLamby ✓ × × ✓ ✓ × FederatedScope ✓ × × ✓ × × Felicitas ✓ ✓ × ✓ × × FLGO ✓ × × ✓ ✓ × COALA (Ours) ✓ ✓ ✓ ✓ ✓ ✓ F. | Benchmarks Single Model Federated Split Learning Personalized Models FedPEFT for FM LEAF ✓ × × × FedML (FedCV) ✓ ✓ ✓ × FedScale ✓ × × × OARF ✓ × ✓ × FedReID ✓ × ✓ × FLamby ✓ × ✓ × FederatedScope ✓ × ✓ × Felicitas ✓ × ✓ × FLGO ✓ × ✓ × COALA (Ours) ✓ ✓ ✓ ✓ on the availability of resources. || FedScale: For example, the FATE (WeBank, 2019), FederatedScope (Xie et al., 2023), FedML (He et al., 2020), OpenFed (Chen et al., 2023b), just name a few, are among the most famous frameworks released by industrial companies, while LEAF (Caldas et al., 2018), Flower (Beutel et al., 2020), FedScale (Lai et al., 2022), EasyFL (Zhuang et al., 2022a), FLUTE (Garcia et al., 2022), FedLab (Zeng et al., 2023) are mainly contributed by academia. | FedScale (Lai et al., 2022) provided the natural partitions of real-world datasets with real client-data mapping to better simulate large-scale FL settings. | Fedscale: Benchmark- ing model and system performance of federated learning at scale. | The following are the compared prior works: LEAF (Caldas et al., 2018), FedCV (He et al., 2021) based on FedML (He et al., 2020), FedScale (Lai et al., 2022), OARF (Hu et al., 2022b), FedReID (Zhuang et al., 2020), FLamby (du Terrail et al., 2022), (Xie et al., 2023) with pFL-Bench (Chen et al., 2022), Felicitas (Zhang et al., 2022), and FLGO (Wang et al., 2023b) 2. | LEAF ✓ × × × ✓ × FedML (FedCV) ✓ ✓ ✓ × × × FedScale ✓ ✓ × × × × OARF ✓ × × × ✓ × FedReID × × × ✓ × × FLamby ✓ × ✓ × × × FederatedScope ✓ × × × × × Felicitas ✓ × × × × × FLGO ✓ ✓ ✓ × × × COALA (Ours) ✓ ✓ ✓ ✓ ✓ ✓ Table 12. | Benchmarks Supervised FL Semi-supervised FL Unsupervised FL Label Shift Domain Shift Continual Shift, Test-time Shift LEAF ✓ × × ✓ × × FedML (FedCV) ✓ × × ✓ ✓ × FedScale ✓ × × ✓ ✓ × OARF ✓ × × ✓ ✓ × FedReID ✓ × ✓ × ✓ × FLamby ✓ × × ✓ ✓ × FederatedScope ✓ × × ✓ × × Felicitas ✓ ✓ × ✓ × × FLGO ✓ × × ✓ ✓ × COALA (Ours) ✓ ✓ ✓ ✓ ✓ ✓ F. | Benchmarks Single Model Federated Split Learning Personalized Models FedPEFT for FM LEAF ✓ × × × FedML (FedCV) ✓ ✓ ✓ × FedScale ✓ × × × OARF ✓ × ✓ × FedReID ✓ × ✓ × FLamby ✓ × ✓ × FederatedScope ✓ × ✓ × Felicitas ✓ × ✓ × FLGO ✓ × ✓ × COALA (Ours) ✓ ✓ ✓ ✓ on the availability of resources."
FedScale,NEURIPS_2025_FEDERATED_LEARNING 5858,FedRACE: A Hierarchical and Statistical Framework for Robust Federated Learning,"We implement FEDRACE on the FedScale platform and evaluate it on CIFAR-100, Food-101, and Tiny ImageNet under diverse attack scenarios. | We also implement FEDRACE on the FedScale platform [26] and conduct extensive evaluations on CIFAR-100, Food-101 [27], and Tiny ImageNet [25]. | The system is implemented using the FedScale platform [26] with PyTorch [61], and leverages GPU acceleration for efficient training and inference. | Fedscale: Benchmarking model and system performance of federated learning at scale."
FederatedScope,ICML_2023_FEDERATED_LEARNING 1865,Efficient Personalized Federated Learning via Sparse Model-Adaptation,"Our codes are at https://github.com/alibaba/FederatedScope/ tree/master/benchmark/pFL-Bench. 2. | Federatedscope-gnn: Towards a unified, comprehensive and efficient package for federated graph learning. | Federatedscope: A flexible fed- erated learning platform for heterogeneity."
FederatedScope,ICML_2023_FEDERATED_LEARNING 1865,FedHPO-Bench: A Benchmark Suite for Federated Hyperparameter Optimization,"We open-sourced FEDHPO-BENCH at https://github. com/alibaba/FederatedScope/tree/ master/benchmark/FedHPOBench. 1. | FedHPO-Bench Tabular Surrogate Raw FederatedScope Dataset Model FedAlgo. | FederatedScope-GNN: Towards a unified, comprehensive and efficient package for federated graph learning. | FederatedScope: A flexible federated learning platform for heterogeneity. | Any contribution is welcome, and all commits to FEDHPO-BENCH must follow the guidelines and regulations at https://github.com/alibaba/FederatedScope/blob/master/benchmark/FedHPOBench/ README.md. | Meanwhile, we provide the raw mode to execute an FL course in the FederatedScope (FS) docker container (Xie et al., 2023). | We also provide several examples (https: //github.com/alibaba/FederatedScope/tree/master/benchmark/FedHPOBench/demo) to access our tabular, surrogate, and raw benchmarks by implementing HPOBench’s abstract base class. || FedScale: FedScale: Bench- marking model and system performance of federated learning at scale. | Users are allowed to specify these parameters according to their scenarios or other system statistic providers, e.g., estimating the computation time of stragglers by sampling from FedScale (Lai et al., 2022)."
